Airline,Aircraft,Day,Time,Price ( AUD )
Jetstar,JQ500,5 Oct 2024,6:00 AM,158
Jetstar,JQ502,5 Oct 2024,7:30 AM,158
Jetstar,JQ504,5 Oct 2024,8:15 AM,198
Jetstar,JQ508,5 Oct 2024,9:25 AM,176
Jetstar,JQ512,5 Oct 2024,12:25 PM,176
Jetstar,JQ518,5 Oct 2024,2:25 PM,158
Jetstar,JQ520,5 Oct 2024,3:25 PM,158
Jetstar,JQ522,5 Oct 2024,4:15 PM,158
Jetstar,JQ524,5 Oct 2024,5:40 PM,141
Jetstar,JQ528,5 Oct 2024,7:15 PM,141
Jetstar,JQ530,5 Oct 2024,8:15 PM,141
Jetstar,JQ532,5 Oct 2024,8:50 PM,127
Jetstar,JQ500,6 Oct 2024,6:00 AM,127
Jetstar,JQ502,6 Oct 2024,7:30 AM,127
Jetstar,JQ504,6 Oct 2024,8:15 AM,141
Jetstar,JQ508,6 Oct 2024,9:25 AM,158
Jetstar,JQ512,6 Oct 2024,12:25 PM,176
Jetstar,JQ518,6 Oct 2024,2:25 PM,176
Jetstar,JQ520,6 Oct 2024,3:25 PM,198
Jetstar,JQ522,6 Oct 2024,4:15 PM,176
Jetstar,JQ524,6 Oct 2024,5:40 PM,
Jetstar,JQ528,6 Oct 2024,7:15 PM,158
Jetstar,JQ530,6 Oct 2024,8:15 PM,158
Jetstar,JQ532,6 Oct 2024,8:50 PM,141
Quantas,QF402,22 Sep 2024,6:00 AM,681
Quantas,QF406,22 Sep 2024,6:30 AM,
Quantas,QF410,22 Sep 2024,7:00 AM,436
Quantas,QF414,22 Sep 2024,7:30 AM,
Quantas,QF418,22 Sep 2024,8:00 AM,436
Quantas,QF422,22 Sep 2024,8:30 AM,508
Quantas,QF426,22 Sep 2024,9:00 AM,436
Quantas,QF430,22 Sep 2024,9:30 AM,508
Quantas,QF432,22 Sep 2024,10:00 AM,590
Quantas,QF436,22 Sep 2024,11:00 AM,590
Quantas,QF440,22 Sep 2024,12:00 PM,590
Quantas,QF444,22 Sep 2024,1:00 PM,781
Quantas,QF448,22 Sep 2024,2:00 PM,1046
Quantas,QF454,22 Sep 2024,3:00 PM,590
Quantas,QF462,22 Sep 2024,4:00 PM,508
Quantas,QF464,22 Sep 2024,4:15 PM,436
Quantas,QF466,22 Sep 2024,4:30 PM,436
Quantas,QF470,22 Sep 2024,5:00 PM,508
Quantas,QF472,22 Sep 2024,5:15 PM,436
Quantas,QF478,22 Sep 2024,6:00 PM,436
Quantas,QF498,22 Sep 2024,9:00 PM,375
Quantas,QF402,23 Sep 2024,6:00 AM,508
Quantas,QF406,23 Sep 2024,6:30 AM,508
Quantas,QF410,23 Sep 2024,7:00 AM,590
Quantas,QF414,23 Sep 2024,7:30 AM,508
Quantas,QF418,23 Sep 2024,8:00 AM,436
Quantas,QF422,23 Sep 2024,8:30 AM,436
Quantas,QF426,23 Sep 2024,9:00 AM,436
Quantas,QF430,23 Sep 2024,9:30 AM,436
Quantas,QF432,23 Sep 2024,10:00 AM,375
Quantas,QF436,23 Sep 2024,11:00 AM,375
Quantas,QF440,23 Sep 2024,12:00 PM,508
Quantas,QF444,23 Sep 2024,1:00 PM,436
Quantas,QF448,23 Sep 2024,2:00 PM,508
Quantas,QF454,23 Sep 2024,3:00 PM,436
Quantas,QF462,23 Sep 2024,3:55 PM,375
Quantas,QF464,23 Sep 2024,4:15 PM,436
Quantas,QF466,23 Sep 2024,4:30 PM,436
Quantas,QF470,23 Sep 2024,5:00 PM,508
Quantas,QF472,23 Sep 2024,5:15 PM,
Quantas,QF478,23 Sep 2024,6:00 PM,681
Quantas,QF498,23 Sep 2024,9:00 PM,270
Quantas,QF402,24 Sep 2024,6:00 AM,436
Quantas,QF406,24 Sep 2024,6:30 AM,590
Quantas,QF410,24 Sep 2024,7:00 AM,508
Quantas,QF414,24 Sep 2024,7:30 AM,508
Quantas,QF418,24 Sep 2024,8:00 AM,436
Quantas,QF422,24 Sep 2024,8:30 AM,320
Quantas,QF426,24 Sep 2024,9:00 AM,320
Quantas,QF430,24 Sep 2024,9:30 AM,320
Quantas,QF432,24 Sep 2024,10:00 AM,375
Quantas,QF436,24 Sep 2024,11:00 AM,375
Quantas,QF440,24 Sep 2024,12:00 PM,375
Quantas,QF444,24 Sep 2024,1:00 PM,375
Quantas,QF448,24 Sep 2024,2:00 PM,436
Quantas,QF454,24 Sep 2024,3:00 PM,436
Quantas,QF462,24 Sep 2024,3:55 PM,436
Quantas,QF464,24 Sep 2024,4:15 PM,508
Quantas,QF466,24 Sep 2024,4:30 PM,508
Quantas,QF470,24 Sep 2024,5:00 PM,681
Quantas,QF472,24 Sep 2024,5:15 PM,
Quantas,QF478,24 Sep 2024,6:00 PM,681
Quantas,QF498,24 Sep 2024,9:00 PM,215
Quantas,QF402,25 Sep 2024,6:00 AM,320
Quantas,QF406,25 Sep 2024,6:30 AM,320
Quantas,QF410,25 Sep 2024,7:00 AM,436
