Airline,Aircraft,Day,Scheduled Time,Actual Time
Jetstar,JQ508,29 Aug 2024,9:25 AM,9:56 AM
Jetstar,JQ508,30 Aug 2024,9:25 AM,9:46 AM
Jetstar,JQ508,31 Aug 2024,9:25 AM,9:38 AM
Jetstar,JQ512,1 Aug 2024,12:25 PM,12:52 PM
Jetstar,JQ512,02 Aug 2024,12:25 PM,1:06 PM
Jetstar,JQ512,03 Aug 2024,12:25 PM,12:41 PM
Jetstar,JQ512,04 Aug 2024,12:25 PM,12:43 PM
Jetstar,JQ512,05 Aug 2024,12:25 PM,12:42 PM
Jetstar,JQ512,06 Aug 2024,12:25 PM,12:33 PM
Jetstar,JQ512,07 Aug 2024,12:25 PM,12:39 PM
Jetstar,JQ512,08 Aug 2024,12:25 PM,12:38 PM
Jetstar,JQ512,09 Aug 2024,12:25 PM,12:30 PM
Jetstar,JQ512,10 Aug 2024,12:25 PM,12:55 PM
Jetstar,JQ512,11 Aug 2024,12:25 PM,12:38 PM
Jetstar,JQ512,12 Aug 2024,12:25 PM,12:58 PM
Jetstar,JQ512,13 Aug 2024,12:25 PM,1:16 PM
Jetstar,JQ512,14 Aug 2024,12:25 PM,1:11 PM
Jetstar,JQ512,15 Aug 2024,12:25 PM,1:28 PM
Jetstar,JQ512,16 Aug 2024,12:25 PM,1:01 PM
Jetstar,JQ512,17 Aug 2024,12:25 PM,12:35 PM
Jetstar,JQ512,18 Aug 2024,12:25 PM,12:39 PM
Jetstar,JQ512,19 Aug 2024,12:25 PM,12:54 PM
Jetstar,JQ512,20 Aug 2024,12:25 PM,12:52 PM
Jetstar,JQ512,21 Aug 2024,12:25 PM,12:31 PM
Jetstar,JQ512,22 Aug 2024,12:25 PM,1:31 PM
Jetstar,JQ512,23 Aug 2024,12:25 PM,12:32 PM
Jetstar,JQ512,24 Aug 2024,12:25 PM,12:51 PM
Jetstar,JQ512,25 Aug 2024,12:25 PM,
Jetstar,JQ512,26 Aug 2024,12:25 PM,12:52 PM
Jetstar,JQ512,27 Aug 2024,12:25 PM,1:01 PM
Jetstar,JQ512,28 Aug 2024,12:25 PM,1:38 PM
Jetstar,JQ512,29 Aug 2024,12:25 PM,12:47 PM
Jetstar,JQ512,30 Aug 2024,12:25 PM,12:47 PM
Jetstar,JQ512,31 Aug 2024,12:25 PM,12:53 PM
Jetstar,JQ518,1 Aug 2024,2:25 PM,2:53 PM
Jetstar,JQ518,02 Aug 2024,2:25 PM,2:45 PM
Jetstar,JQ518,03 Aug 2024,2:25 PM,3:07 PM
Jetstar,JQ518,04 Aug 2024,2:25 PM,2:49 PM
Jetstar,JQ518,05 Aug 2024,2:25 PM,3:15 PM
Jetstar,JQ518,06 Aug 2024,2:25 PM,2:50 PM
Jetstar,JQ518,07 Aug 2024,2:25 PM,3:24 PM
Jetstar,JQ518,08 Aug 2024,2:25 PM,2:51 PM
Jetstar,JQ518,09 Aug 2024,2:25 PM,2:37 PM
Jetstar,JQ518,10 Aug 2024,2:25 PM,2:50 PM
Jetstar,JQ518,11 Aug 2024,2:25 PM,2:40 PM
Jetstar,JQ518,12 Aug 2024,2:25 PM,2:56 PM
Jetstar,JQ518,13 Aug 2024,2:25 PM,2:35 PM
Jetstar,JQ518,14 Aug 2024,2:25 PM,3:30 PM
Jetstar,JQ518,15 Aug 2024,2:25 PM,2:53 PM
Jetstar,JQ518,16 Aug 2024,2:25 PM,2:58 PM
Jetstar,JQ518,17 Aug 2024,2:25 PM,3:26 PM
Jetstar,JQ518,18 Aug 2024,2:25 PM,2:38 PM
Jetstar,JQ518,19 Aug 2024,2:25 PM,3:02 PM
Jetstar,JQ518,20 Aug 2024,2:25 PM,2:55 PM
Jetstar,JQ518,21 Aug 2024,2:25 PM,3:27 PM
Jetstar,JQ518,22 Aug 2024,2:25 PM,2:58 PM
Jetstar,JQ518,23 Aug 2024,2:25 PM,2:35 PM
Jetstar,JQ518,24 Aug 2024,2:25 PM,2:45 PM
Jetstar,JQ518,25 Aug 2024,2:25 PM,3:21 PM
Jetstar,JQ518,26 Aug 2024,2:25 PM,2:48 PM
Jetstar,JQ518,27 Aug 2024,2:25 PM,3:13 PM
Jetstar,JQ518,28 Aug 2024,2:25 PM,3:38 PM
Jetstar,JQ518,29 Aug 2024,2:25 PM,4:02 PM
Jetstar,JQ518,30 Aug 2024,2:25 PM,3:44 PM
Jetstar,JQ518,31 Aug 2024,2:25 PM,2:36 PM
Jetstar,JQ520,1 Aug 2024,3:25 PM,3:30 PM
Jetstar,JQ520,02 Aug 2024,3:25 PM,
Jetstar,JQ520,03 Aug 2024,3:25 PM,3:48 PM
Jetstar,JQ520,04 Aug 2024,3:25 PM,3:53 PM
Jetstar,JQ520,05 Aug 2024,3:25 PM,3:39 PM
Jetstar,JQ520,06 Aug 2024,3:25 PM,3:47 PM
Jetstar,JQ520,07 Aug 2024,3:25 PM,3:49 PM
Jetstar,JQ520,08 Aug 2024,3:25 PM,4:28 PM
Jetstar,JQ520,09 Aug 2024,3:25 PM,3:34 PM
Jetstar,JQ520,10 Aug 2024,3:25 PM,3:45 PM
Jetstar,JQ520,11 Aug 2024,3:25 PM,3:41 PM
Jetstar,JQ520,12 Aug 2024,3:25 PM,3:51 PM
Jetstar,JQ520,13 Aug 2024,3:25 PM,3:45 PM
